run_label,concurrency,requests,ok,errors,elapsed_s,throughput_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
create_challenge,1,50,50,0,1.2576536249835044,39.75657447069801,25.011118897236884,19.33013356756419,43.11550706624985,44.28497835295275
create_challenge,2,50,50,0,0.49853939400054514,100.29297704795887,19.62322791106999,18.12253356911242,25.93243304872885,32.71399010904132
create_challenge,4,50,46,4,0.34682095679454505,132.63327690791812,23.62651854287833,21.363940904848278,35.8155661728233,55.166093599982496
create_challenge,8,50,45,5,0.2192946900613606,205.2033270272463,32.840784029103816,30.431608902290463,53.1654397258535,55.5962869292125
create_challenge,16,50,45,5,0.2321693580597639,193.8240273224011,63.23447044938803,67.70268152467906,97.08425562130286,108.37297980207947
submit,1,100,100,0,2.2873352298047394,43.718996103835906,22.751487512141466,18.248180975206196,41.88717141514644,45.98446134943516
submit,2,100,100,0,0.9437142100650817,105.96428339582135,18.56512492056936,17.943111481145024,25.740933883935213,26.616865606047213
submit,4,100,95,5,0.6059051770716906,156.79021007730987,23.183346292935312,20.38597804494202,37.43855879874899,46.22869016835468
submit,8,100,82,18,0.4273612129036337,191.87515741745682,32.998267649672925,34.259145497344434,56.09883316792548,68.02916047396143
submit,16,100,88,12,0.45445821597240865,193.63716378568608,68.17127998918295,68.11575405299664,107.78318630764261,117.86578680854295
submit,32,100,88,12,0.4883794158231467,180.18777440011272,116.8411697098054,124.66807698365301,161.32483747787774,178.2184722227976
evaluate,1,100,100,0,1.1672909669578075,85.66844328507047,11.560326060280204,7.715812535025179,26.55041089747101,35.815711573231965
evaluate,2,100,100,0,1.3092329201754183,76.38060306839935,25.9857056196779,24.456478422507644,54.39325441839173,66.75549679202965
evaluate,4,100,100,0,0.37007876695133746,270.2127463939298,14.505535278003663,9.787018061615527,32.49320093309507,33.74030156061054
evaluate,8,100,100,0,0.2187683330848813,457.10454794753304,16.158409845083952,13.090956956148148,36.49715180508792,43.54688111925501
evaluate,16,100,100,0,0.19076493103057146,524.2053634269618,28.636971137020737,26.16761508397758,49.072653183247894,53.290443532168894
evaluate,32,100,100,0,0.14043929893523455,712.051404116709,35.20175027195364,34.51849496923387,50.120139622595154,52.52126797800884
list_submissions,1,100,100,0,3.094564667204395,32.31472299150213,30.828273808583617,25.26857645716518,57.25490369368344,68.45301815541463
list_submissions,2,100,100,0,2.4277018760330975,41.19121914730385,48.2168978988193,44.85834715887904,77.90378733770922,85.48657075967655
list_submissions,4,100,100,0,2.721064432989806,36.75032417006152,106.59173815511167,105.58991797734052,147.8930629440583,164.2898501036689
list_submissions,8,100,100,0,2.553983131190762,39.15452642530818,198.75789082609117,188.12576192431152,311.7934943642467,371.62384299794223
list_submissions,16,100,100,0,2.269188790116459,44.06861184735,345.24955725995824,340.1370334904641,512.6911650761031,535.4689641343431
list_submissions,32,100,100,0,2.3382089869119227,42.76777677262724,652.9867874458432,697.299606516026,855.2900777198374,895.2367854537447
leaderboard_get,1,100,100,0,0.8716314830817282,114.72738415372673,8.596422937698662,5.299906013533473,29.770791123155497,37.029155322816266
leaderboard_get,2,100,100,0,0.3652795690577477,273.7629160534594,7.162693361751735,5.869841552339494,13.877188682090488,31.58379625994713
leaderboard_get,4,100,100,0,0.3252813369035721,307.42618359824456,12.041167172137648,7.763660396449268,29.30096655618399,42.937125738244504
leaderboard_get,8,100,100,0,0.22684452403336763,440.83056633666206,17.62475903844461,13.44314799644053,53.9968560799025,54.586845899466425
leaderboard_get,16,100,100,0,0.13130584987811744,761.580691894713,19.446280964184552,19.241917645558715,23.585400031879544,24.047455126419667
leaderboard_get,32,100,100,0,0.12240397301502526,816.9669458990916,34.72760975593701,35.36272991914302,43.43941202387214,45.8831642754376
list_challenges,1,100,100,0,2.690889155957848,37.1624374711206,26.787190791219473,22.988576558418572,47.96352324774489,61.77336358232425
list_challenges,2,100,100,0,2.2054073470644653,45.34309733442497,43.86218776227906,41.22749052476138,67.1433423529379,86.08648280845955
list_challenges,4,100,100,0,2.4441084030549973,40.91471551548436,96.7307998938486,99.59529351908714,135.947947378736,157.98112658318138
list_challenges,8,100,100,0,2.629339562030509,38.0323642651826,204.22119074966758,205.79521753825247,304.43023227853695,340.6325417594053
list_challenges,16,100,100,0,1.9025915530510247,52.559888558129295,290.31407232163474,277.1839499473572,452.2013083100319,504.9295802973211
list_challenges,32,100,100,0,2.077176700113341,48.142269261225344,552.0790532673709,554.5841924613342,777.6645978912711,889.8842778685503
